ticker,company,sector,price,mktcap_bn,score,tier,accruals,cash_conv,fcf_conv,gross_margin,net_margin,roa,de
VLTO,Veralto Corp,Producer Manufacturing,92.55,22.730212117,84.5,Excellent,-2.12,1.17,1.11,59.1453602717683,17.3252279635258,13.554343264792298,0.88585690515807
LMT,Lockheed Martin Corporation,Electronic Technology,545.91,125.866976268,84.4,Excellent,-3.97,1.47,1.13,10.7035389982159,6.38164727185578,8.27042370176089,2.76365335825878
TT,Trane Technologies plc,Producer Manufacturing,478.13,105.693258189,84.4,Excellent,-2.9,1.23,1.1,35.9249726887247,13.5917566241415,13.697454294367,0.537312737897077
EQR,Equity Residential,Finance,69.83,26.166150693,84.4,Excellent,-2.47,1.45,1.14,31.0727862855217,30.429900171715,4.64260646069808,0.7815168378592929
HUBB,Hubbell Inc,Producer Manufacturing,487.1,25.73923029,84.4,Excellent,-2.3,1.22,1.03,35.6831940761495,15.0814696219209,11.7902449836373,0.726715491163827
CSCO,"Cisco Systems, Inc.",Electronic Technology,112.69,444.1602988629999,84.3,Excellent,-2.27,1.28,1.16,63.5301089783689,20.1346590722023,9.97114067697124,0.675405742821473
MS,Morgan Stanley,Finance,213.93,337.428549695,84.3,Excellent,-1.59,2.49,2.31,,14.6425655411031,1.25709907367629,4.6694608263479305
C,"Citigroup, Inc.",Finance,139.97,240.035600768,84.3,Excellent,-1.1,3.16,2.71,,9.11475258971247,0.592499702291987,3.5667783787371
APO,"Apollo Global Management, Inc. (New)",Finance,118.61,68.380743054,84.3,Excellent,-1.08,2.49,2.49,58.4911018553578,3.2689637763473405,0.240210996145263,0.7127462282592351
TPL,Texas Pacific Land Corporation,Miscellaneous,407.2,28.086387219000002,84.3,Excellent,-3.7,1.13,1.01,85.5398826018295,60.02514823753759,32.4423422857594,0.010182872670388301
ROL,"Rollins, Inc.",Commercial Services,43.38,20.885893806,84.3,Excellent,-3.89,1.23,1.18,49.2732843169128,13.7659071462196,17.3289580002069,0.772345131462385
CCEP,Coca-Cola Europacific Partners plc,Consumer Non-Durables,106.61,47.251430829,84.2,Excellent,-2.99,1.48,1.08,34.8799522287283,9.30446962513834,6.530924242033819,1.36490108487556
TYIDY,Toyota Industries Corporation,Consumer Durables,127.95,38.44500483945,84.2,Excellent,-1.64,1.78,0.86,22.387463863745,5.14101540748935,2.23505294743908,0.30447077315613397
NFLX,"Netflix, Inc.",Technology Services,77.65,326.968497514,84.1,Excellent,-2.74,1.15,1.08,49.4437169341938,28.286971264369797,23.6484885824724,0.537877831611681
PFG,Principal Financial Group Inc,Finance,110.87,23.949294288000004,84.0,Excellent,-0.82,3.16,3.06,,10.1017549988033,0.514320512976745,0.333965282303454
AMT,American Tower Corporation (REIT),Finance,166.03,77.352225247,83.8,Excellent,-4.81,2.2,1.49,54.85659885574851,26.8067250191787,4.62973161508242,12.811900300914102
BKR,Baker Hughes Company,Industrial Services,52.78,52.361382904,83.7,Excellent,-1.99,1.39,0.89,23.5650521636253,11.1712616068548,7.00177516122509,0.8369058713886299
SPGI,S&P Global Inc.,Commercial Services,439.89,130.207444336,83.5,Excellent,-2.08,1.28,1.24,62.879847425302,30.368722186904,7.91673917186633,0.44589869438296
NDAQ,"Nasdaq, Inc.",Finance,84.66,47.878688952,83.5,Excellent,-1.81,1.28,1.12,57.8100423472474,23.145795523291,6.60247118105888,0.790908335410953
ACGL,Arch Capital Group Ltd.,Finance,102.2,35.70761476599999,83.5,Excellent,-2.19,1.34,1.33,,25.4200146092038,7.3906085268084,0.11282454109475801
JPM,JP Morgan Chase & Co.,Finance,334.47,896.216206183,83.4,Excellent,-1.87,2.61,2.61,,20.5870269776784,1.26653497266408,3.48813860091529
PEP,"PepsiCo, Inc.",Consumer Non-Durables,144.22,197.11534502,83.4,Excellent,-4.39,1.59,1.07,54.22428966557711,9.14948453608247,8.22382205732097,2.46588411354815
ISRG,"Intuitive Surgical, Inc.",Health Technology,426.01,150.87691569299997,83.4,Excellent,-2.51,1.18,0.99,66.2789049432532,28.1522571134274,15.1487106993395,0.0
MDLZ,"Mondelez International, Inc.",Consumer Non-Durables,60.91,78.187107921,83.4,Excellent,-2.02,1.59,1.05,31.1927539181763,6.638001221249751,3.7258388135581106,0.8396893203883501
TMO,Thermo Fisher Scientific Inc,Health Technology,523.44,194.521537909,83.3,Excellent,-1.4,1.24,1.01,40.1265570723721,15.153660641193001,6.45152174527369,0.831074055532021
YUM,"Yum! Brands, Inc.",Consumer Services,164.73,45.403076676999994,83.2,Excellent,-5.64,1.3,1.06,45.6688273423689,20.4832056570418,23.3759246805649,
AMGN,Amgen Inc.,Health Technology,374.15,201.931839174,83.1,Excellent,-3.29,1.39,1.11,71.510910943113,20.9104069486891,8.57750823385806,6.2375408052230705
IDXX,"IDEXX Laboratories, Inc.",Health Technology,557.8,44.000938241,83.1,Excellent,-4.34,1.14,1.02,62.105623024249404,24.6335941989544,33.1929725878313,0.710397062405252
CFG,"Citizens Financial Group, Inc.",Finance,70.98,30.016160632999995,82.8,Excellent,-0.36,1.45,1.37,,16.2631752305665,0.8815665549271761,0.470502827449182
SHW,Sherwin-Williams Company (The),Process Industries,352.48,86.934126089,82.7,Excellent,-4.11,1.42,1.13,48.6657893087673,10.8596018466295,10.1903761261438,3.29520886461601
GWW,"W.W. Grainger, Inc.",Distribution Services,1342.98,63.40626918999999,82.7,Excellent,-4.24,1.24,0.81,39.1500707367505,9.69637610186092,19.6569411505157,0.70763358778626
KMB,Kimberly-Clark Corporation,Consumer Non-Durables,114.72,38.080195996,82.7,Excellent,-6.83,1.58,0.91,35.9265523073206,10.395022952404,10.278001731912,3.9443207126948803
PYPL,"PayPal Holdings, Inc.",Commercial Services,45.47,40.109339516,82.6,Excellent,-1.44,1.22,1.05,41.432014578802,14.8697901357945,6.25262637498455,0.58280063923292
V,Visa Inc.,Finance,362.13,682.298146098,82.5,Excellent,-3.05,1.15,1.07,78.2834034443489,51.212029655797494,23.4537152345372,0.6723311180280981
WWD,"Woodward, Inc.",Producer Manufacturing,418.02,24.906826080999995,82.5,Excellent,-2.46,1.28,0.88,28.3817924763341,12.852362289418098,10.8596798273114,0.45452234444418005
SNA,Snap-On Incorporated,Consumer Durables,412.09,21.347050639,82.5,Excellent,-1.59,1.13,1.06,51.6107408258638,19.6008580402972,12.3409745921111,0.218223930447626
UI,Ubiquiti Inc.,Electronic Technology,525.38,31.797094415,82.4,Excellent,-2.83,1.07,1.04,46.0224206078118,30.429836520842603,62.5205516724209,0.0556340230711132
MA,Mastercard Incorporated,Finance,539.39,476.596321913,82.2,Excellent,-5.49,1.19,1.16,96.5686562775654,45.7806527491914,30.856429413688204,2.82184848935854
MRSH,Marsh,Finance,178.54,86.01958583599999,82.1,Excellent,-1.82,1.26,1.18,,14.245789779326397,6.79259650246178,1.54101173725033
SYY,Sysco Corporation,Distribution Services,84.83,40.564229702999995,82.0,Excellent,-2.96,1.45,1.0,18.407984012828,2.07737504038676,6.39057610896374,6.69612538093165
BAC,Bank of America Corporation,Finance,58.73,416.7827469520001,81.6,Excellent,-0.97,2.12,2.12,,16.3158137650576,0.9295300199690019,2.48807654954967
MCO,Moody's Corporation,Commercial Services,490.51,85.692097209,81.6,Excellent,-4.24,1.25,1.12,68.1442906134891,31.6905880858631,16.7292476867373,2.4425517702070803
MCK,McKesson Corporation,Distribution Services,786.3,92.05822830899999,81.5,Excellent,-1.69,1.29,1.2,3.40282081154104,1.18037825645093,6.04840502213218,
FAST,Fastenal Company,Distribution Services,48.6,55.794500909,81.5,Excellent,-2.95,1.12,0.92,42.8985987894868,15.3943643621116,25.785907724662,0.1116681288382
PNC,"PNC Financial Services Group, Inc. (The)",Finance,249.49,100.186363299,81.4,Excellent,-0.42,1.37,1.37,,20.7309315908171,1.238609371626,1.0681943200213702
EBAY,eBay Inc.,Retail Trade,114.84,50.988958374,81.4,Excellent,-2.97,1.26,1.04,72.1496284909044,17.1064992740627,10.8719841506771,1.6323662737987301
